736,F24W T5/AQUABASIC             ,1.38,Sylvania
737,SYLVANIA AQUABASIC F15T8 865  ,1.02,Sylvania
741,F15W REPTISTAR UV-B 10%       ,2.01,Sylvania
742,F18W REPTISTAR UV-B 10%       ,2.23,Sylvania
743,F30W REPTISTAR UV-B 10%       ,2.76,Sylvania
744,F36W REPTISTAR UV-B 10%       ,3.20,Sylvania
755,LYNX S 9W BLB (NON-ROHS)      ,1.05,Sylvania
786,SUNLIGHTSTAR T8 F36W retail   ,2.25,Sylvania
787,SUNLIGHTSTAR T8 F30W RETAIL   ,1.96,Sylvania
788,SUNLIGHTSTAR T8 F18W RETAIL   ,1.71,Sylvania
789,SUNLIGHTSTAR T8 F15W RETAIL   ,1.66,Sylvania
790,SUNLIGHTSTAR T8 F58W RETAIL   ,2.39,Sylvania
820,AQUASTAR LED MAXI FIXTURE     ,46.79,Sylvania
870,F16W/830                      ,1.14,Sylvania
871,F16W/840                      ,1.14,Sylvania
872,F16W/835                      ,1.14,Sylvania
874,"F25W/28""/840                  ",1.11,Sylvania
875,"F25W/28""/865                  ",1.08,Sylvania
876,"F25W/30""/830                  ",1.08,Sylvania
877,"F25W/30""/840                  ",1.08,Sylvania
878,"F25W/33""/840                  ",1.06,Sylvania
879,"F25W/33""/865                  ",1.08,Sylvania
947,F15W/T8/865                   ,0.95,Sylvania
996,F15W/T8/865 - RETAIL          ,1.33,Sylvania
997,F30W/T8/865 - RETAIL          ,1.55,Sylvania
1077,F30W/T8/835                   ,1.11,Sylvania
1078,F30W/T8/865                   ,1.11,Sylvania
1079,F30W/T8/830                   ,1.12,Sylvania
1080,F30W/T8/840                   ,1.12,Sylvania
1093,F70W/T8/830                   ,1.71,Sylvania
1094,F70W/T8/840                   ,1.71,Sylvania
1095,F70W/T8/865                   ,1.71,Sylvania
1096,F30WT8-840                    ,1.24,Sylvania
1097,F30WT8-840AIRLL               ,1.24,Sylvania
1099,FHE28WT5-830  ABS1238-16-28A  ,1.47,Sylvania
1100,FHE28WT5-840  ABS1238-16-28B  ,1.38,Sylvania
1101,FHE28WT5-830AIRLL ABS1238-16-2,1.48,Sylvania
1102,FHE28WT5-840AIRLL ABS1238-16-2,1.36,Sylvania
1138,F75/85W/54-765                ,1.85,Sylvania
1394,F58W/835                      ,1.09,Sylvania
1475,F18W/827 E                    ,0.77,Sylvania
1476,F18W/840 E                    ,0.80,Sylvania
1477,F18W/865 E                    ,0.80,Sylvania
1478,F36W/827 E                    ,0.93,Sylvania
1479,F36W/840 E                    ,0.95,Sylvania
1480,F36W/865 E                    ,0.99,Sylvania
1481,F58W/827 E                    ,1.11,Sylvania
1482,F58W/840 E                    ,1.11,Sylvania
1483,F58W/865 E                    ,1.12,Sylvania
1484,F18W/830 E                    ,0.80,Sylvania
1485,F36W/830 E                    ,0.95,Sylvania
1486,F58W/830 E                    ,1.12,Sylvania
1493,F36W/840 SHATTER-PROOF FEP    ,3.58,Sylvania
1494,F58W/840 SHATTER-PROOF FEP    ,4.08,Sylvania
1500,F18W/840                      ,0.97,Sylvania
1501,F18W/830                      ,0.97,Sylvania
1502,F18W/865                      ,0.96,Sylvania
1504,F36W/1M/840                   ,1.24,Sylvania
1505,F18W/827                      ,0.95,Sylvania
1510,F36W/840                      ,1.18,Sylvania
1511,F36W/830                      ,1.18,Sylvania
1512,F36W/865                      ,1.24,Sylvania
1514,F36W/827                      ,1.16,Sylvania
1520,F38W/840                      ,1.24,Sylvania
1521,F38W/830                      ,1.25,Sylvania
1523,F18W/GRO                      ,2.00,Sylvania
1524,F36W/GRO                      ,3.05,Sylvania
1525,F58W/GRO                      ,3.59,Sylvania
1530,F58W/840                      ,1.29,Sylvania
1531,F58W/830                      ,1.31,Sylvania
1532,F58W/865                      ,1.31,Sylvania
1535,F58W/827                      ,1.31,Sylvania
1537,FR58WT8/840 RFL               ,2.29,Sylvania
1553,F40W/33-640 RS                ,1.61,Sylvania
1554,F40W/29-530 RS                ,1.24,Sylvania
1559,F20W/54-765 RS                ,1.09,Sylvania
1560,F40W/54-765 RS                ,1.61,Sylvania
1561,F65W/54-765 RS                ,1.47,Sylvania
1580,F18W/940                      ,1.27,Sylvania
1581,F36W/940                      ,1.80,Sylvania
1582,F58W/940                      ,2.04,Sylvania
1605,F32W/830 T8 ECO               ,1.77,Sylvania
1607,F32W/840 T8 ECO               ,1.97,Sylvania
1608,F32W/865 T8 ECO               ,2.01,Sylvania
1609,F51W/830 T8 ECO               ,2.34,Sylvania
1611,F51W/840 T8 ECO               ,2.38,Sylvania
1620,F18W/840 OEM                  ,0.97,Sylvania
1626,F18W 840 4 WAY RETAIL         ,5.32,Sylvania
1627,F18W 827 4 WAY RETAIL         ,5.23,Sylvania
1628,F36W 840 4WAY RETAIL          ,6.21,Sylvania
1629,F36W 827 4WAY RETAIL          ,6.12,Sylvania
1630,F40W T12 4FT BL368 TOUGHCOAT  ,9.76,Sylvania
1638,F40W/T12/2FT/BL368            ,1.87,Sylvania
1648,F8W T5 BL368 TOUGHCOAT        ,3.67,Sylvania
1649,F11W T5 BL368 TOUGHCOAT       ,3.59,Sylvania
1650,F15W T5 BL368 TOUGHCOAT       ,3.67,Sylvania
1651,"F25W/18""/T8 BL368 TOUGHCOAT   ",3.02,Sylvania
1652,F30W T8 BL368 TOUGHCOAT       ,5.03,Sylvania
1653,"F36W T8 BL368 48"" FEP         ",5.88,Sylvania
1663,F36W/T8 BRITEGRO              ,1.53,Sylvania
1664,"F18W T8 BL368 24"" TOUGHCOAT   ",3.53,Sylvania
1665,"F36W T8 BL368 24"" TOUGHCOAT   ",3.53,Sylvania
1679,"F25W/30""/GRO                  ",2.34,Sylvania
1680,F30W/T8/827                   ,1.11,Sylvania
1701,FO32W/41K SYL-OCTRON          ,1.14,Sylvania
1703,FO32W/865 OCTRON              ,1.04,Sylvania
1788,FHE 21W T5 176 FOODSTAR MEAT T,4.37,Sylvania
1792,F30W T8 176 FOODSTAR MEAT TOUG,5.78,Sylvania
1793,F36W T8 176 FOODSTAR MEAT TOUG,6.79,Sylvania
1795,F58W T8 176 FOODSTAR MEAT TOUG,7.65,Sylvania
1802,F36W T8 FOODSTAR BREAD TOUGHCO,6.68,Sylvania
1803,F58W T8 FOODSTAR BREAD TOUGHCO,7.51,Sylvania
1816,F36W/T8/176 FOODSTAR MEAT     ,1.83,Sylvania
1817,F36W/T8/1M/176 FOODSTAR MEAT  ,1.78,Sylvania
1818,F58W/T8/176 FOODSTAR MEAT     ,1.97,Sylvania
1819,FHE21W/T5/176 FOODSTAR MEAT   ,1.63,Sylvania
1820,FHE28W/T5/176 FOODSTAR MEAT   ,1.93,Sylvania
1821,FHE35W/T5/176 FOODSTAR MEAT   ,2.24,Sylvania
1823,SYLVANIA FHO39W/FOODSTAR MEAT ,1.62,Sylvania
1824,FHO54W/FOODSTAR MEAT          ,1.93,Sylvania
1850,F15W/T8/827                   ,0.96,Sylvania
1853,F15W/T8/830                   ,0.99,Sylvania
1854,FHE 14W T5 176 FOODSTAR MEAT  ,1.44,Sylvania
1855,F18W T8 176 FOODSTAR MEAT     ,1.40,Sylvania
1856,F30W T8 176 FOODSTAR MEAT     ,1.62,Sylvania
1857,F70W T8 176 FOODSTAR MEAT     ,2.53,Sylvania
1858,FHE 21W T5 FOODSTAR BREAD     ,1.44,Sylvania
1859,FHE 28W T5 FOODSTAR BREAD     ,1.63,Sylvania
1860,FHE 35W T5 FOODSTAR BREAD     ,1.81,Sylvania
1861,F18W T8 FOODSTAR BREAD        ,1.33,Sylvania
1862,F30W T8 FOODSTAR BREAD        ,1.47,Sylvania
1863,F36W T8 FOODSTAR BREAD        ,1.72,Sylvania
1864,F58W T8 FOODSTAR BREAD        ,1.80,Sylvania
1865,FHE 21W T5 FOODSTAR FRESH     ,1.58,Sylvania
1866,FHE 28W T5 FOODSTAR FRESH     ,1.82,Sylvania
1867,FHE 35W T5 FOODSTAR FRESH     ,2.12,Sylvania
1869,F58W T8 FOODSTAR FRESH        ,2.54,Sylvania
1900,F6W/T5/33-640/SP200 EL        ,1.18,Sylvania
1902,F6W/T5/54-765/SP200 EL        ,1.16,Sylvania
1905,F8W/T5/33-640/SP200 EL        ,1.20,Sylvania
1907,F8W/T5/840/SP200 EMERGENCY LIG,1.21,Sylvania
1908,F8W/T5/54-765/SP200 EL        ,1.14,Sylvania
1909,F6W/T5/840/SP200  EMERGENCY LI,0.91,Sylvania
1910,F6W/T5/33-640 25WAY EL        ,1.23,Sylvania
1911,F6WT5/840 25WAY EMERGENCY     ,1.24,Sylvania
1912,F8W/T5/33-640 25WAY EL        ,1.25,Sylvania
1913,F8WT5/840 25WAY EMERGENCY     ,1.25,Sylvania
1960,FC22/830                      ,1.61,Sylvania
1961,FC22/840                      ,1.61,Sylvania
1962,FC22/865                      ,1.61,Sylvania
1963,FC32/830                      ,1.96,Sylvania
1964,FC32/840                      ,1.96,Sylvania
1965,FC32/865                      ,1.96,Sylvania
1966,FC40/830                      ,2.93,Sylvania
1967,FC40/840                      ,2.93,Sylvania
1968,FC40/865                      ,2.93,Sylvania
1972,FC22/840_SPS 6_REPACK LPB_    ,2.11,Sylvania
1973,FC32/840_SPS 6_REPACK LPB_    ,2.53,Sylvania
1974,FC40/840_SPS 6_REPACK LPB_    ,3.51,Sylvania
1975,FC22/830_6-WAY_REPACK LPB_    ,2.11,Sylvania
1976,FC32/830_6-WAY_REPACK LPB_    ,2.53,Sylvania
1977,FC40/830_6-WAY_REPACK LPB_    ,3.51,Sylvania
2166,"F25WT8/18""/BL368 SYLVANIA     ",1.33,Sylvania
2188,F70W/T8/172 SYL-ACTIVA        ,2.06,Sylvania
2208,G 55 T8                       ,7.06,Sylvania
2212,F14W/T8 AQUASTAR              ,1.15,Sylvania
2216,G6 T5                   001G5 ,1.81,Sylvania
2217,T8 G58W                       ,33.94,Sylvania
2218,F18W/172 ACTIVA               ,1.21,Sylvania
2219,F36W/172 ACTIVA               ,1.52,Sylvania
2220,F58W/172 ACTIVA               ,1.66,Sylvania
2221,F18W/T8 AQUASTAR              ,1.21,Sylvania
2222,F36W/T8 AQUASTAR              ,1.45,Sylvania
2223,F58W/T8 AQUASTAR              ,1.54,Sylvania
2224,F15W/T8 AQUASTAR              ,1.15,Sylvania
2225,F30W/T8 AQUASTAR              ,1.31,Sylvania
2226,"F25W/T8/30"" AQUASTAR          ",1.33,Sylvania
2232,ACTIVA T8 15W - RETAIL        ,1.92,Sylvania
2233,ACTIVA T8 18W - RETAIL        ,1.87,Sylvania
2234,FHE 14W T5 ACTIVA - RETAIL    ,2.55,Sylvania
2235,FHE 28W T5 ACTIVA - RETAIL    ,3.54,Sylvania
2236,FHE 35W T5 ACTIVA - RETAIL    ,4.07,Sylvania
2237,FHO 54W T5 ACTIVA - RETAIL    ,3.49,Sylvania
2238,F18W/T8/ACTIVA/5000K          ,1.20,Sylvania
2240,FHE 14W/T5/ACTIVA             ,1.39,Sylvania
2241,FHE 28W/T5/ACTIVA             ,1.76,Sylvania
2242,FHE 35W/T5/ACTIVA             ,2.15,Sylvania
2243,FHO 54W/T5/ACTIVA             ,2.02,Sylvania
2301,F15WT8/AQUACLASSIC            ,1.23,Sylvania
2302,F18WT8/AQUACLASSIC            ,1.45,Sylvania
2306,FHO24W T5/AQUACLASSIC         ,1.27,Sylvania
2307,FHO39W T5/AQUACLASSIC         ,1.54,Sylvania
2309,FHO24W T5 AQUACLASSIC RETAIL  ,2.25,Sylvania
2310,FHO39W T5 AQUACLASSIC RETAIL  ,2.45,Sylvania
2311,FHO54W T5 AQUACLASSIC RETAIL  ,2.97,Sylvania
2312,F14W T8 AQUACLASSIC RETAIL    ,1.74,Sylvania
2313,F15W T8 AQUACLASSIC RETAIL    ,1.71,Sylvania
2314,F18W T8 AQUACLASSIC RETAIL    ,1.81,Sylvania
2315,F25W T8 AQUACLASSIC RETAIL    ,1.91,Sylvania
2316,F30W T8 AQUACLASSIC RETAIL    ,2.00,Sylvania
2328,G4 T5                   001G5 ,1.87,Sylvania
2338,FO32W/35K SYL-OCTRON          ,1.16,Sylvania
2400,F10W T8 54-765                ,0.44,Sylvania
2401,F15W T8 54-765                ,0.37,Sylvania
2402,F30W T8 54-765                ,0.43,Sylvania
2500,F10W T8 54-765 W/0 COO MEA    ,0.44,Sylvania
2501,F15W T8 54-765 W/0 COO MEA    ,0.37,Sylvania
2502,F30W T8 54-765 W/0 COO MEA    ,0.44,Sylvania
2503,F10W T8 29-530 W/0 COO MEA    ,0.44,Sylvania
2504,F15W T8 29-530 W/0 COO MEA    ,0.37,Sylvania
2505,F30W T8 29-530 W/0 COO MEA    ,0.44,Sylvania
2560,F18W/PINK                     ,1.80,Sylvania
2561,F18W/YELLOW                   ,1.28,Sylvania
2562,F18W/GREEN                    ,1.52,Sylvania
2563,F18W/BLUE                     ,1.63,Sylvania
2564,F36W/PINK                     ,2.79,Sylvania
2565,F36W/YELLOW                   ,1.40,Sylvania
2566,F36W/GREEN                    ,1.97,Sylvania
2567,F36W/BLUE                     ,2.31,Sylvania
2569,F58W/YELLOW                   ,1.48,Sylvania
2570,F58W/GREEN                    ,2.25,Sylvania
2571,F58W/BLUE                     ,2.63,Sylvania
2572,F18W/RED                      ,2.85,Sylvania
2573,F36W/RED                      ,4.34,Sylvania
2574,F58W/RED                      ,5.14,Sylvania
2675,F14W/T5/830 10 WAY            ,1.09,Sylvania
2676,FHE 14W/T5/840 10 WAY         ,1.09,Sylvania
2678,F24W/ 840 10 WAY              ,1.11,Sylvania
2679,F21W/ 830 10 WAY              ,1.40,Sylvania
2680,FHE 21W/ 840 10 WAY           ,1.40,Sylvania
2682,F39W/ 840 10 WAY              ,1.35,Sylvania
2683,F28W/ 830 10 WAY              ,1.53,Sylvania
2684,FHE 28W/T5/840 10 WAY         ,1.53,Sylvania
2720,FHO24W/MARINESTAR             ,1.28,Sylvania
2721,FHO39W/MARINESTAR             ,1.61,Sylvania
2722,FHO54W/MARINESTAR             ,1.68,Sylvania
2725,FHO24W MARINESTAR RETAIL      ,2.24,Sylvania
2729,FHE 14W/T5/865 10 WAY         ,1.09,Sylvania
2730,FHE 21W/T5/865 10 WAY         ,1.40,Sylvania
2731,FHE 28W/T5/865 10 WAY         ,1.53,Sylvania
2732,FHO49W/T5/840 Shatter-Proof FE,4.78,Sylvania
2738,F8W/T5/840                    ,1.27,Sylvania
2740,FHO 24W/T5/GROLUX             ,1.72,Sylvania
2741,FHO 24W/T5/174 AQUASTAR       ,1.20,Sylvania
2742,FHO 24W/T5/CORALSTAR          ,1.20,Sylvania
2743,FHO 39W/T5/ GROLUX            ,2.23,Sylvania
2744,FHO 39W/T5/174 AQUASTAR       ,1.42,Sylvania
2745,FHO 39W/T5/CORALSTAR          ,1.44,Sylvania
2746,FHO 54W/T5/GROLUX             ,2.67,Sylvania
2747,FHO 54W/T5/AQUASTAR           ,1.59,Sylvania
2748,FHO 54W/T5/CORALSTAR          ,1.62,Sylvania
2749,FHO 80W/GROLUX                ,3.13,Sylvania
2750,FHO 80W/AQUASTAR              ,1.76,Sylvania
2752,FHO24W/AQUASTAR RETAIL        ,2.11,Sylvania
2753,FHO39W/AQUASTAR RETAIL        ,2.38,Sylvania
2754,FHO54W/AQUASTAR RETAIL        ,3.00,Sylvania
2755,FHO39W/CORALSTAR RETAIL       ,2.51,Sylvania
2756,FHO54W/CORALSTAR RETAIL       ,2.94,Sylvania
2760,FHE 14W/T5/830                ,1.04,Sylvania
2761,FHE 14W/T5/840                ,1.04,Sylvania
2762,FHE 14W/T5/865                ,1.02,Sylvania
2763,FHE 21W/T5/830                ,1.27,Sylvania
2764,FHE 21W/T5/840                ,1.27,Sylvania
